id,name,status,start_date,end_date,network,country,runtime,rating,rating_count,genres,total_episodes
15133,Law Firm,Canceled/Ended,Jun/06/2001,Jul/2001,SBS,KR,60,0.0,0,"Drama, Romance/Dating",16
15134,Sangdo,Canceled/Ended,Oct/15/2001,Apr/2002,MBC,KR,50,0.0,0,Drama,51
15135,"Run, Joe, Run",Canceled/Ended,Sep/07/1974,Sep/04/1976,NBC,US,30,0.0,0,"Drama, Action, Adventure, Family",26
15136,Into the Storm,Ended,2004-03-13,,SBS,KR,70,0.0,0,"Drama, Action",24
15137,KSA,Canceled/Ended,Sep/06/2006,Nov/2006,SBS,KR,60,0.0,0,"Drama, Romance/Dating",18
15138,National Bingo Night,Canceled/Ended,May/18/2007,Jun/22/2007,ABC,US,60,0.0,0,Family,6
15139,The Next Best Thing: Who is the Greatest Celebrity Impersonator?,Canceled/Ended,May/30/2007,Jul/25/2007,ABC,US,60,0.0,0,Comedy,8
15140,The Heaven And Earth Show,Canceled/Ended,Sep/06/1998,Sep/02/2007,BBC one,GB,60,0.0,0,Family,386
15141,Love in Heaven,Canceled/Ended,Sep/10/2005,Jul/2006,SBS,KR,60,0.0,0,"Drama, Romance/Dating",86
15142,Tack Gode Gud,Canceled/Ended,Mar/21/2007,Dec/06/2008,TV4,SE,30,0.0,0,"Comedy, Sketch/Improv",17
15143,Cities of the Underworld,Ended,2007-04-23,,History,US,60,6.5,2,,47
15144,Bill Moyers Journal,Canceled/Ended,Oct/06/1971,Apr/30/2010,PBS,US,60,0.0,0,,64
15145,Where Are They Now (2004),Returning Series,2004,,Seven,AU,60,0.0,0,Family,17
15146,Half Ton Hospital With Jeremy Kyle,Canceled/Ended,Apr/30/2007,May/04/2007,itv,GB,60,0.0,0,Family,5
15147,Rock & Roll Jeopardy!,Canceled/Ended,Aug/08/1998,May/2001,VH1,US,30,0.0,0,"Family, Music",0
15148,The Henry Rollins Show,Canceled/Ended,Apr/01/2006,Sep/07/2007,IFC,US,30,8.0,2,Music,41
15149,Krisse Show,Canceled/Ended,Sep/21/2006,Dec/2006,Nelonen,FI,30,0.0,0,Comedy,15
15150,Blue Fish,New Series,Apr/07/2007,,SBS,KR,60,0.0,0,"Drama, Romance/Dating",16
15151,Crossed Fate,Canceled/Ended,Mar/30/2007,2007,SBS,KR,60,0.0,0,"Drama, Romance/Dating",14
15152,Private Practice,Ended,2007-09-26,,ABC,US,60,8.2,5,"Drama, Medical, Romance",111
15153,Koppel on Discovery,Canceled/Ended,Sep/10/2006,Oct/13/2008,Discovery Channel,US,180,0.0,0,,6
15154,Driving Me Crazy (UK),Canceled/Ended,May/14/2007,Aug/21/2007,itv,GB,60,0.0,0,Family,3
15155,The Hunter (1952),Canceled/Ended,Jul/03/1952,Dec/1954,NBC,US,30,0.0,0,Adventure,2
15156,Hunter (1977),Canceled/Ended,Feb/18/1977,May/27/1977,CBS,US,60,10.0,1,"Action, Adventure",9
15157,Age of Love,Ended,2007-06-18,,NBC,US,30,0.0,0,Romance,8
15158,The Ex-Wives Club,Canceled/Ended,May/28/2007,Jun/25/2007,ABC,US,60,0.0,0,Drama,5
15159,Sunset Tan,Canceled/Ended,May/28/2007,Sep/28/2008,E!,US,30,6.5,2,Drama,20
15160,Fast Cars & Superstars -- The Gillette Young Guns Celebrity Race,Canceled/Ended,Jun/07/2007,Jun/24/2007,ABC,US,30,0.0,0,Sports,7
15161,Shaq's Big Challenge,Canceled/Ended,Jun/26/2007,Jul/31/2007,ABC,US,60,0.0,0,"Family, Fitness",6
15162,Side Order of Life,Ended,2007-07-15,,Lifetime,US,60,0.0,0,"Comedy, Drama",13
15163,State of Mind,Canceled/Ended,Jul/15/2007,Sep/09/2007,Lifetime,US,60,0.0,0,Drama,8
15164,Army Wives,Ended,2007-06-03,,Lifetime,US,60,6.5,2,"Drama, Family, Romance",117
15165,The Kill Point,Ended,2007-07-22,,Paramount Network,US,60,6.5,2,"Crime, Drama, Action",8
15166,Abbey And Janice,Canceled/Ended,May/14/2007,Jun/2007,sky LIVING,GB,60,0.0,0,Family,6
15167,Gavin & Stacey,Ended,2007-05-13,,BBC One,GB,10,10.0,2,"Comedy, Drama, Romance",19
15170,The Queen and I,Canceled/Ended,Jan/16/1969,Apr/24/1969,CBS,US,30,0.0,0,Comedy,13
15172,Out of the Inkwell,Canceled/Ended,1962,1963,Syndicated,US,5,0.0,0,"Comedy, Family, Children, Children Cartoons",0
15173,The Larry Storch Show,Canceled/Ended,Jul/11/1953,1953,CBS,US,60,0.0,0,"Comedy, Family, Music, Sketch/Improv",0
15174,TV Land Confidential,Canceled/Ended,Sep/14/2005,Aug/2007,TVland,US,30,0.0,0,Family,13
15175,Sola,Canceled/Ended,Apr/06/2007,Jun/2007,TV Aichi,JP,30,0.0,0,"Drama, Romance/Dating, Fantasy, Anime",13
15176,The Johnny Carson Show,Canceled/Ended,1955,1956,CBS,US,60,0.0,0,"Comedy, Family",1
15177,Dennou Coil,Canceled/Ended,May/12/2007,Dec/2007,NHK,JP,25,0.0,0,"Sci-Fi, Adventure, Anime",26
15180,Skullman,Canceled/Ended,Apr/29/2007,Jul/2007,Fuji TV,JP,25,0.0,0,"Drama, Action, Sci-Fi, Fantasy, Anime",12
15181,Kiddy Grade 2,Canceled/Ended,Oct/15/2009,Mar/25/2010,Unknown,JP,25,0.0,0,"Drama, Sci-Fi, Adventure, Anime",0
15182,Judge Wapner's Animal Court,Canceled/Ended,Sep/28/1998,2000,Animal Planet,US,30,0.0,0,"Crime, Animals/Pets",0
15183,This Week,Ended,2003-01-16,,BBC One,GB,50,0.0,0,"Finance, Family",728
15184,Chuck,Ended,2007-09-24,,NBC,US,60,9.15,20,"Comedy, Drama, Action",91
15185,Life,Ended,2007-09-26,,NBC,US,60,7.0,3,"Crime, Drama",32
15186,My Friend Tony,Canceled/Ended,Jan/05/1969,Jun/22/1969,NBC,US,60,0.0,0,"Drama, Mystery",16
15189,Gossip Girl,Ended,2007-09-19,,The CW,US,60,8.4286,14,"Drama, Romance",121
15193,The Hudson Brothers Razzle Dazzle Show,Canceled/Ended,Sep/07/1974,Aug/30/1975,CBS,US,30,0.0,0,"Comedy, Music, Sketch/Improv",0
15197,The Howard Stern Radio Show,Canceled/Ended,Aug/22/1998,Nov/2001,Syndicated,US,60,0.0,0,Comedy,0
15198,Howard K. Smith,Canceled/Ended,Feb/14/1962,Jun/1963,ABC,US,30,0.0,0,,0
15199,How To,Canceled/Ended,Jul/10/1951,Sep/1951,CBS,US,30,0.0,0,,0
15200,How Did They Get That Way?,Canceled/Ended,Jul/24/1951,Mar/1952,ABC,US,30,0.0,0,,0
15201,Houston Medical,Canceled/Ended,Jun/18/2002,Jul/23/2002,ABC,US,60,0.0,0,Medical,6
15202,House of Buggin',Canceled/Ended,Jan/08/1995,Apr/23/1995,FOX,US,30,0.0,0,"Comedy, Sketch/Improv",10
15203,Hour of Decision,Canceled/Ended,Sep/30/1951,Feb/1954,ABC,US,30,0.0,0,Family,0
15204,The Humble Report,Canceled/Ended,Mar/01/1964,Sep/1964,NBC,US,60,0.0,0,,0
15205,Hour Glass,Canceled/Ended,May/09/1946,Mar/1947,NBC,US,10,0.0,0,"Comedy, Music, Sketch/Improv",1
15206,Hotel Broadway,Canceled/Ended,Jan/20/1949,Mar/17/1949,DuMont Television Network,US,30,0.0,0,"Comedy, Music",0
15207,The Hot Seat,Canceled/Ended,Apr/18/1952,Dec/1952,ABC,US,30,0.0,0,,0
15208,Hot Pursuit (1984),Canceled/Ended,Sep/22/1984,Aug/02/1985,NBC,US,60,0.0,0,"Crime, Drama, Mystery",11
15209,Hot Country,Ended,2016-01-04,,Showcase TV,US,60,0.0,0,Music,8
15210,Horizons,Canceled/Ended,Dec/02/1951,Mar/1955,ABC,US,30,0.0,0,,0
15211,The Horace Heidt Show,Canceled/Ended,Oct/02/1950,Sep/1951,CBS,US,30,0.0,0,Music,0
15212,Hopkins 24/7,Canceled/Ended,Aug/30/2000,Aug/07/2008,ABC,US,60,0.0,0,"Drama, Medical",7
15213,Celeste,Ended,2024-11-14,,Movistar Plus+,US,10,0.0,0,Comedy,6
15214,Hometown (US),Canceled/Ended,Aug/22/1985,Oct/01/1985,CBS,US,60,0.0,0,"Comedy, Drama",7
15215,The Brothers (US),Canceled/Ended,Oct/02/1956,Mar/26/1957,CBS,US,30,0.0,0,Comedy,26
15216,Professional Father,Canceled/Ended,Jan/08/1955,Jul/02/1955,CBS,US,30,0.0,0,Comedy,2
15217,The Pride of the Family,Canceled/Ended,Oct/02/1953,Sep/24/1954,ABC,US,30,0.0,0,"Comedy, Family",39
15218,City Detective,Canceled/Ended,1953,1955,Syndicated,US,30,0.0,0,"Crime, Drama",64
15219,Lucky Luke,In Development,,,France 2,IT,35,0.0,0,Comedy,8
15220,Sweepstakes,Canceled/Ended,Jan/26/1979,Mar/30/1979,NBC,US,60,0.0,0,Drama,9
15221,Toma,Canceled/Ended,Oct/04/1973,Aug/29/1974,ABC,US,60,0.0,0,"Crime, Drama",22
15222,Break the Bank,Canceled/Ended,Oct/22/1948,Sep/1986,Syndicated,US,30,0.0,0,Family,1
15223,Willy,Canceled/Ended,Sep/18/1954,Jul/07/1955,CBS,US,30,0.0,0,Comedy,18
15224,Star Stage,Canceled/Ended,Sep/09/1955,Sep/07/1956,NBC,US,30,0.0,0,Anthology,34
15225,Hollywood Theatre Time,Canceled/Ended,Oct/08/1950,Oct/1951,ABC,US,30,0.0,0,"Comedy, Drama, Music",0
15226,Hollywood Talent Scouts,Canceled/Ended,Jun/22/1965,Sep/05/1966,CBS,US,60,0.0,0,"Music, Talent, Dance",0
15227,Hollywood Summer Theatre,Canceled/Ended,Aug/03/1956,Sep/1956,CBS,US,30,0.0,0,Drama,0
15228,Guestward Ho!,Canceled/Ended,Sep/29/1960,Sep/21/1961,ABC,US,30,0.0,0,"Comedy, Family",38
15229,The Bob Cummings Show (1961),Canceled/Ended,Oct/05/1961,Mar/01/1962,CBS,US,30,0.0,0,Comedy,22
15230,Durham County,Ended,2007-05-07,,Crave,CA,60,8.0,2,"Crime, Drama, Thriller",18
15231,Tetsuko no Tabi,Canceled/Ended,Jun/24/2007,Sep/2007,Family Gekijou,JP,30,0.0,0,"Comedy, Anime",13
15232,Hollywood Screen Test,Canceled/Ended,Apr/15/1948,May/1953,ABC,US,30,0.0,0,"Comedy, Drama",0
